country,population,English,French,German,Spainish,Russian,Italian,Polish
Germany,64409146,56,15,98,4,6,3,1
Italy,51862391,34,16,5,11,0,97,0
United Kingdom,51848010,97,19,9,8,2,2,1
France,47756439,39,97,8,13,0,5,1
Spain,39127930,22,12,2,98,0,2,0
Poland,32413735,33,4,19,1,26,2,99
Romania,18246731,31,23,7,5,3,7,0
Netherlands,13371980,90,29,71,5,0,2,0
Czech Republic,9012443,27,1,15,1,13,1,2
Belgium,8939546,38,81,23,5,1,4,0
Greece,8693566,51,9,9,1,1,8,0
Hungary,8320614,20,3,18,1,3,1,0
Portugal,8080915,27,24,1,10,0,1,0
Sweden,7791240,86,11,30,5,0,2,1
Austria,7009827,73,11,97,4,2,9,1
Bulgaria,6537510,25,2,8,2,23,1,0
Denmark,4561264,86,9,47,4,0,1,0
Slovakia,4549955,26,2,22,1,17,1,5
Finland,4440004,70,3,18,3,3,1,0
Croatia,3856401,49,4,34,2,4,14,0
Ireland,3522000,99,17,7,4,1,1,1
Lithuania,2829740,38,3,14,1,80,1,12
Slovenia,1759701,59,3,48,3,3,12,0
Latvia,1447866,46,1,14,1,67,0,2
Estonia,945733,50,1,22,1,56,0,0
Cyprus,660400,73,11,5,2,4,3,0
Luxembourg,404907,56,96,71,5,0,6,0
Malta,335476,89,17,3,1,0,66,0
